# Catálogo de referencia de productos argentinos de GondolIA: autocompleta la carga de mercadería por código de
# barras sin depender de internet (ver docs/datos-demo.md). Lo genera y verifica backend/scripts/catalogo_argentina.py.
#
# Fuente: Open Food Facts (https://world.openfoodfacts.org), y Open Products Facts / Open Beauty Facts para limpieza y
# perfumería (columna "fuente"). Los datos se publican bajo la Open Database License (ODbL) 1.0
# (https://opendatacommons.org/licenses/odbl/1-0/) y su contenido bajo la Database Contents License (DbCL) 1.0.
# © colaboradores de Open Food Facts. Nombres, marcas y contenidos revisados y normalizados para GondolIA; los
# códigos de barras son los de la base pública, sin cambios.
#
# Formato: separado por ";", una fila por producto y sin comillas (ningún campo lleva ";" ni comillas). codigo =
# EAN-13/EAN-8 con dígito verificador válido.
codigo;nombre;marca;contenido;categoria;fuente
7798062547788;Agua mineral con gas Villavicencio 1,5 L;Villavicencio;1,5 L;Bebidas;OFF
7792799000639;Agua mineral Eco de los Andes 1 L;Eco de los Andes;1 L;Bebidas;OFF
7792799000011;Agua mineral Eco de los Andes 500 ml;Eco de los Andes;500 ml;Bebidas;OFF
7792931000022;Agua mineral Glaciar 1,5 L;Glaciar;1,5 L;Bebidas;OFF
7792931000039;Agua mineral Glaciar 2 L;Glaciar;2 L;Bebidas;OFF
7790315000422;Agua mineral natural Villavicencio 2 L;Villavicencio;2 L;Bebidas;OFF
7790315000446;Agua mineral natural Villavicencio 500 ml;Villavicencio;500 ml;Bebidas;OFF
7798065733454;Agua mineral Sierra de los Padres 600 ml;Sierra de los Padres;600 ml;Bebidas;OFF
7798062540109;Agua mineral Villa del Sur 600 ml;Villa del Sur;600 ml;Bebidas;OFF
7790315058201;Agua mineral Villavicencio Aventura 750 ml;Villavicencio;750 ml;Bebidas;OFF
7790895003301;Agua saborizada Aquarius manzana 2,25 L;Aquarius;2,25 L;Bebidas;OFF
7790895641213;Agua saborizada Aquarius naranja 500 ml;Aquarius;500 ml;Bebidas;OFF
7790895640476;Agua saborizada Aquarius pera 1,5 L;Aquarius;1,5 L;Bebidas;OFF
7790895003295;Agua saborizada Aquarius pera 2,25 L;Aquarius;2,25 L;Bebidas;OFF
7790895003288;Agua saborizada Aquarius pomelo 2,25 L;Aquarius;2,25 L;Bebidas;OFF
7790895640469;Agua saborizada Aquarius pomelo 500 ml;Aquarius;500 ml;Bebidas;OFF
7790315100948;Agua saborizada Levité Cero limón 500 ml;Levité;500 ml;Bebidas;OFF
7790315000880;Agua saborizada Levité manzana 2,25 L;Levité;2,25 L;Bebidas;OFF
7798062548648;Agua saborizada Levité naranja 1,5 L;Levité;1,5 L;Bebidas;OFF
7799155000340;Agua saborizada Levité naranja 2,25 L;Levité;2,25 L;Bebidas;OFF
7799155000432;Agua saborizada Levité pera 1,5 L;Levité;1,5 L;Bebidas;OFF
7798062548686;Agua saborizada Levité pomelo 500 ml;Levité;500 ml;Bebidas;OFF
7798113300058;Agua tónica Manaos 2,25 L;Manaos;2,25 L;Bebidas;OFF
7791813222057;Agua tónica Paso de los Toros 1,5 L;Paso de los Toros;1,5 L;Bebidas;OFF
7790950133288;Amargo Terma limón 1,35 L;Terma;1,35 L;Bebidas;OFF
7790950133325;Amargo Terma serrano 1,35 L;Terma;1,35 L;Bebidas;OFF
7790036001562;Bebida Baggio Fresh liviano naranja 1,5 L;Baggio;1,5 L;Bebidas;OFF
7798119220183;Bebida energizante Speed lata 473 ml;Speed;473 ml;Bebidas;OFF
7792170042258;Bebida isotónica Gatorade Cool Blue 500 ml;Gatorade;500 ml;Bebidas;OFF
7792170042029;Bebida isotónica Gatorade frutas tropicales 500 ml;Gatorade;500 ml;Bebidas;OFF
7792170110575;Bebida isotónica Gatorade manzana 1,25 L;Gatorade;1,25 L;Bebidas;OFF
7792170111541;Bebida isotónica Gatorade naranja 1,25 L;Gatorade;1,25 L;Bebidas;OFF
7790895640018;Bebida isotónica Powerade manzana 500 ml;Powerade;500 ml;Bebidas;OFF
7791813969488;Gaseosa 7Up 1,5 L;7Up;1,5 L;Bebidas;OFF
7791813900115;Gaseosa 7Up light 2,25 L;7Up;2,25 L;Bebidas;OFF
7790895005312;Gaseosa Coca-Cola Light 2,25 L;Coca-Cola;2,25 L;Bebidas;OFF
7790895000430;Gaseosa Coca-Cola sabor original 1,5 L;Coca-Cola;1,5 L;Bebidas;OFF
7790895000997;Gaseosa Coca-Cola sabor original 2,25 L;Coca-Cola;2,25 L;Bebidas;OFF
7790895000782;Gaseosa Coca-Cola sabor original 500 ml;Coca-Cola;500 ml;Bebidas;OFF
7790895067556;Gaseosa Coca-Cola Zero 1,5 L;Coca-Cola;1,5 L;Bebidas;OFF
7790895067570;Gaseosa Coca-Cola Zero 2,25 L;Coca-Cola;2,25 L;Bebidas;OFF
7790895067532;Gaseosa Coca-Cola Zero 500 ml;Coca-Cola;500 ml;Bebidas;OFF
7790639001907;Gaseosa Cunnington pomelo sin azúcar 2,25 L;Cunnington;2,25 L;Bebidas;OFF
7790895000454;Gaseosa Fanta naranja 1,5 L;Fanta;1,5 L;Bebidas;OFF
7790895648670;Gaseosa Fanta uva 500 ml;Fanta;500 ml;Bebidas;OFF
7798113300010;Gaseosa Manaos cola 2,25 L;Manaos;2,25 L;Bebidas;OFF
7798113300928;Gaseosa Manaos manzana 2,25 L;Manaos;2,25 L;Bebidas;OFF
7798113300041;Gaseosa Manaos naranja 2,25 L;Manaos;2,25 L;Bebidas;OFF
7798113300034;Gaseosa Manaos pomelo rosado 2,25 L;Manaos;2,25 L;Bebidas;OFF
7791813423317;Gaseosa Mirinda manzana 2,25 L;Mirinda;2,25 L;Bebidas;OFF
7791813421382;Gaseosa Paso de los Toros pomelo 1,5 L;Paso de los Toros;1,5 L;Bebidas;OFF
7791813423386;Gaseosa Paso de los Toros pomelo 2,25 L;Paso de los Toros;2,25 L;Bebidas;OFF
7791813420385;Gaseosa Paso de los Toros pomelo 500 ml;Paso de los Toros;500 ml;Bebidas;OFF
7791813969587;Gaseosa Pepsi 1,5 L;Pepsi;1,5 L;Bebidas;OFF
7791813555063;Gaseosa Pepsi 3 L;Pepsi;3 L;Bebidas;OFF
7791813555032;Gaseosa Pepsi 500 ml;Pepsi;500 ml;Bebidas;OFF
7791813050056;Gaseosa Pepsi Black lata 354 ml;Pepsi;354 ml;Bebidas;OFF
7791813421054;Gaseosa Pepsi sin azúcar 1,5 L;Pepsi;1,5 L;Bebidas;OFF
7790895001000;Gaseosa Sprite lima-limón 2,25 L;Sprite;2,25 L;Bebidas;OFF
7790036000343;Jugo Baggio Pronto durazno 1 L;Baggio;1 L;Bebidas;OFF
7790036000572;Jugo Baggio Pronto manzana 200 ml;Baggio;200 ml;Bebidas;OFF
7790036002583;Jugo Baggio Pronto multifruta 1,5 L;Baggio;1,5 L;Bebidas;OFF
7790036000619;Jugo Baggio Pronto multifruta 200 ml;Baggio;200 ml;Bebidas;OFF
7790036000329;Jugo Baggio Pronto naranja 1 L;Baggio;1 L;Bebidas;OFF
7790036000565;Jugo Baggio Pronto naranja 200 ml;Baggio;200 ml;Bebidas;OFF
7790895641534;Jugo Cepita del Valle durazno 1,5 L;Cepita;1,5 L;Bebidas;OFF
7790895647123;Jugo Cepita del Valle multifruta 1 L;Cepita;1 L;Bebidas;OFF
7790895009815;Jugo Cepita del Valle naranja 1 L;Cepita;1 L;Bebidas;OFF
7798061000345;Jugo en polvo Inca naranja 20 g;Inca;20 g;Bebidas;OFF
7793360106040;Néctar BC manzana 1 L;BC;1 L;Bebidas;OFF
7793360106002;Néctar BC multifruta 1 L;BC;1 L;Bebidas;OFF
7798113301529;Soda Manaos muy bajo sodio 2 L;Manaos;2 L;Bebidas;OFF
7790950000191;Aperitivo Gancia Americano 450 ml;Gancia;450 ml;Bebidas alcohólicas;OFF
7792798010196;Cerveza Andes Origen Criolla lata 473 ml;Andes Origen;473 ml;Bebidas alcohólicas;OFF
7792798992317;Cerveza Andes Origen Roja lata 473 ml;Andes Origen;473 ml;Bebidas alcohólicas;OFF
7793147573126;Cerveza Heineken 1 L;Heineken;1 L;Bebidas alcohólicas;OFF
7793147009199;Cerveza Heineken lata 473 ml;Heineken;473 ml;Bebidas alcohólicas;OFF
7793147573737;Cerveza Imperial Extra Lager 1 L;Imperial;1 L;Bebidas alcohólicas;OFF
7793147572624;Cerveza Imperial Golden 710 ml;Imperial;710 ml;Bebidas alcohólicas;OFF
7793147570743;Cerveza Imperial IPA lata 473 ml;Imperial;473 ml;Bebidas alcohólicas;OFF
7793147573515;Cerveza Isenbeck liviana lata 473 ml;Isenbeck;473 ml;Bebidas alcohólicas;OFF
7792798013630;Cerveza Patagonia 24.7 botella 1 L;Patagonia;1 L;Bebidas alcohólicas;OFF
7792798001972;Cerveza Patagonia 24.7 lata 473 ml;Patagonia;473 ml;Bebidas alcohólicas;OFF
7792798009459;Cerveza Patagonia Sol Citra lata 473 ml;Patagonia;473 ml;Bebidas alcohólicas;OFF
7792798009107;Cerveza Quilmes 0,0% sin alcohol lata 473 ml;Quilmes;473 ml;Bebidas alcohólicas;OFF
7792798013999;Cerveza Quilmes Bajo Cero 1 L;Quilmes;1 L;Bebidas alcohólicas;OFF
7792798012923;Cerveza Quilmes Clásica lata 473 ml;Quilmes;473 ml;Bebidas alcohólicas;OFF
